28330081,Cannot tell based on the abstract,,,,
28324530,Cannot tell based on the abstract,,,,
28389896,Cannot tell based on the abstract,,,,
28330133,Cannot tell based on the abstract,
28324293,Cannot tell based on the abstract,
28330259,Cannot tell based on the abstract,
28330181,Cannot tell based on the abstract,
28324446,Cannot tell based on the abstract,
28324446,Cannot tell based on the abstract,
28324343,Cannot tell based on the abstract,
28330265,Cannot tell based on the abstract,
10881642,Cannot tell based on the abstract,
17043424,Cannot tell based on the abstract,
18608103,Cannot tell based on the abstract,
11161394,Cannot tell based on the abstract,
16796402,Cannot tell based on the abstract,
21624138,Cannot tell based on the abstract,
22371721,Cannot tell based on the abstract,
,Significantly increased,nation of antibiotherapy. Patients were followed for 21 days after last dose of study treatment. The primary outcome was severity and incidence of AAD. Severity was measured by the total number of days with diarrhea and incidence was defi...
17563841,Cannot tell based on the abstract,
22066097,Cannot tell based on the abstract,
